instance,structure,primal_source_inventory,dual_source_inventory,general_casebook_role,historical_primal,historical_dual,historical_conclusion,primal_category,primal_project_baseline,primal_project_result,historical_copt_dual,historical_project_dual,newer_dual_audit_bound,newer_dual_audit_evidence,newer_dual_audit_limits,general_rule,primal_transferable_rule,primal_limitation,source_url,snapshot_commit
comp12-2idx,时间选择与排程,True,True,not_explicitly_mapped_here,277,165 (solver),Feasible; global optimum open; prior radius-10 local result retained,not_in_project_primal_table,,,,,,,,,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,bit 半径 10 已关闭；one-hot 换一个类别计两个 bit，不能误读成十个教学时段。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/comp12-2idx/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
core2586-950,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,944 (strict),937 (solver),Exact set-cover reduction OPT = 87 + OPT(hard); 0.7415% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/core2586-950/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
core4284-1064,覆盖/划分的支持交换,True,True,named_case_or_family_expansion,1062,1055 (portable),Exact set-cover reduction and independently checked dual certificate; global optimum open,not_in_project_primal_table,,,,,,,,覆盖约简、有理对偶和 scope 检查；撤销无效 packing 界,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/core4284-1064/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
core4872-1529,覆盖/划分的支持交换,True,True,named_case_or_family_expansion,1530,932 (portable),Independently replayed disjoint-row-packing certificate; global optimum open,not_in_project_primal_table,,,,,,,,覆盖约简、有理对偶和 scope 检查；撤销无效 packing 界,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/core4872-1529/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cvrpa-n64k9vrpi,路线与负载/时间势,True,True,not_explicitly_mapped_here,"1,401 (new strict incumbent)","1,401","Optimal, mixed database/computational evidence; exact MPS projection and rational 17+ bound, but no portable complete lower-bound trace",numeric_improvement,1617,1401,0,1401,1401,原MPS精确投影＋外部结果＋数值排除＋精确大车数证书,混合证据支持1401。外部固定9车和商业排除未在本次完整重跑；plain K10/K11的超时既不能证明不可行，也不否定另一次成功nonmerge运行。固定路线回填子问题的bound不用于全局证明。,,恢复路线后先构造分配和路线，再补时间/负载/indicator 变量；只迁移经核对的数据。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cvrpa-n64k9vrpi/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cvrpb-n45k5vrpi,路线与负载/时间势,True,True,not_explicitly_mapped_here,751 (new strict incumbent),751,"Optimal, mixed database/computational evidence; no portable exact lower-bound trace",numeric_improvement,775,751,0,751,751,原MPS精确投影＋外部固定车数结果＋历史数值排除,按允许外部结果和合理solver日志的标准通过。固定5车外部计算及K≥6商业搜索未由本次重新求解；altman的原MPS COPT超时日志不是成功排除，cutoff可行性模型的目标0也不是路线下界。,,恢复路线后先构造分配和路线，再补时间/负载/indicator 变量；只迁移经核对的数据。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cvrpb-n45k5vrpi/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cvrpp-n16k8vrpi,路线与负载/时间势,True,True,named_case_or_family_expansion,450,450,"Optimal, exact dynamic program",not_in_project_primal_table,,,282.375839,450,,,,找小状态图核心并穷尽 DP；用全局界覆盖未枚举补集,恢复路线后先构造分配和路线，再补时间/负载/indicator 变量；只迁移经核对的数据。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cvrpp-n16k8vrpi/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
d20200,分组/多选与耦合资源,True,True,not_explicitly_mapped_here,"12,237","12,232 solver; 12,230 independently exact",Custom tree incomplete: 33 pending subtrees; no new bound,not_in_project_primal_table,,,,,,,,,在原耦合行上建立冲突图，联合交换完整类别；保留未选择变量的影响。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/d20200/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
dano3mip,网络设计与连续 recourse,True,True,not_explicitly_mapped_here,664.020833333333,578.2171855753,Feasible; global optimum open,not_in_project_primal_table,,,,,,,,,迁移可验证设计；联合释放容量、路径和运作选择，再解连续 recourse。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/dano3mip/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
datt256,有限域可行性/覆盖修复,True,True,not_explicitly_mapped_here,no feasible point,local infeasibility certificates,Global feasibility open,not_in_project_primal_table,,,,,,,,,保持硬配额或边界，按未满足约束构造 repair；未完全满足时只保留 near-feasible 标签。,470/480 拼图仅 near-feasible；十条不匹配边对应二十条色流行，不能作为 primal。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/datt256/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
dfn-bwin-DBE,网络设计与连续 recourse,True,True,named_case_or_family_expansion,"73,623.79","73,623.79","Optimal, exact spanning-tree DP and cost exclusion",not_in_project_primal_table,,,56406.0914,73623.79,,,,找小状态图核心并穷尽 DP；用全局界覆盖未枚举补集,迁移可验证设计；联合释放容量、路径和运作选择，再解连续 recourse。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/dfn-bwin-DBE/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
dws012-01,网络设计与连续 recourse,True,True,not_explicitly_mapped_here,"82,030.5522222395466198 (1e-9 feasible)","44,641.72316928 (solver)",Fixed-design recourse optimum and exact projection blueprint; 45.5792% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,迁移可验证设计；联合释放容量、路径和运作选择，再解连续 recourse。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/dws012-01/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
dws012-02,网络设计与连续 recourse,True,True,named_case_or_family_expansion,119443.31072434435 (new strict incumbent),23459.58492171858,Sibling-design transplant improves MIPLIB v36 by 449.99998531942; global optimum open,numeric_improvement,119893.31070966377,119443.31072434435,,,,,,否定没有 private variables 的伪分解，再作兄弟设计迁移和 recourse 修复,迁移可验证设计；联合释放容量、路径和运作选择，再解连续 recourse。,264 个设计位置中只换一对选择；395 个 DEC 小块无私有变量，不能当独立 recourse。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/dws012-02/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
eva1aprime5x5opt,构件选择与力学 recourse,True,True,not_explicitly_mapped_here,-17.94807560443689 (strict),-458.919072061,Feasible; no 1e-6 improvement within bit radius 8; global optimum open,not_in_project_primal_table,,,,,,,,,在超过已关闭构件半径的联合选择中搜索；用平衡/位移 LP 检验。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/eva1aprime5x5opt/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ex1010-pi,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,233,224 solver,Exact kernelization; global optimum open,not_in_project_primal_table,,,,,,,,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ex1010-pi/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
f2000,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,"1,810","1,332 root",Feasible minimum-prime-implicant witness; global optimum open,not_in_project_primal_table,,,,,,,,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/f2000/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fastxgemm-n3r21s3t6,双线性张量与支持,True,True,named_case_or_family_expansion,"2,147 (external-derived; strictly verified)",93,"Strict interval [93,2147]; LB is our proof, UB is excluded from our primal count; global optimum open",external_or_external_derived,,,84,**93**,,,,秩/轨道不变量、有限排除和局部搜索边界；松弛见证不能当完整张量分解,先核对外部构造的完整张量等式；新搜索改变支持/orbit，避免重扫固定系数模式。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fastxgemm-n3r21s3t6/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fastxgemm-n3r22s4t6,双线性张量与支持,True,True,named_case_or_family_expansion,"1,150 (external-derived; strictly verified)",90,"Strict interval [90,1150]; LB is our proof, UB is excluded from our primal count; global optimum open",external_or_external_derived,,,,,,,,秩/轨道不变量、有限排除和局部搜索边界；松弛见证不能当完整张量分解,先核对外部构造的完整张量等式；新搜索改变支持/orbit，避免重扫固定系数模式。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fastxgemm-n3r22s4t6/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fastxgemm-n3r23s5t6,双线性张量与支持,True,True,named_case_or_family_expansion,153 (BILR 2018; strictly verified),90,"Strict interval [90,153]; LB is our proof, UB is excluded from our primal count; global optimum open",external_or_external_derived,,,,,,,,秩/轨道不变量、有限排除和局部搜索边界；松弛见证不能当完整张量分解,先核对外部构造的完整张量等式；新搜索改变支持/orbit，避免重扫固定系数模式。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fastxgemm-n3r23s5t6/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-binpack4-58,布局/装箱/几何关系,True,True,not_explicitly_mapped_here,—,geometric contradiction,"Infeasible, exact certificate",not_in_project_primal_table,,,,,,,,,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-binpack4-58/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-binschedule0,时间选择与排程,True,True,named_case_or_family_expansion,"15,958","15,958","Optimal, exact interval-order path-cover certificate",numeric_improvement,16088,15958,15642,15958,,,,端点区间序、匹配/path cover 与负载格点；界与完整见证分开,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-binschedule0/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-binschedule1,时间选择与排程,True,True,named_case_or_family_expansion,"55,158","55,158","Optimal, exact interval-order path-cover certificate",numeric_improvement,55198,55158,52153,55158,,,,端点区间序、匹配/path cover 与负载格点；界与完整见证分开,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-binschedule1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-binschedule2,时间选择与排程,True,True,named_case_or_family_expansion,"2,428","2,428","Optimal, exact endpoint clique/parity certificate",not_in_project_primal_table,,,2273.5,2428,,,,端点区间序、匹配/path cover 与负载格点；界与完整见证分开,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-binschedule2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-paira100,时间选择与排程,True,True,named_case_or_family_expansion,-15.113116512593402 (strict),-15.113116512593402 (Gurobi + audited valid cuts),"Computational optimum; official lower headline is nonintegral, so no numerical primal improvement is claimed",not_in_project_primal_table,,,-23.8016842,-15.113116512593402,-15.113116512593401992,本地精确分支对偶证书＋精确原MPS可行解,采用本题原MPS字面系数对应的精确认证值。最终证明不依赖已撤回的旧energy cuts或浮点D_safe。精确树证书是后续补全，不冒充旧搜索轨迹重放。,提取 selection 核，推导安全冲突/能量约束，再独立构造原空间 schedule；latest start 不等于 deadline,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-paira100/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-paira200,时间选择与排程,True,True,named_case_or_family_expansion,-19.369961204645204 (new strict incumbent),-19.369961204645204 (Gurobi + audited valid cuts),Computational optimum; independent rerun and original-MPS audit,numeric_improvement,-19.2298568218154,-19.369961204645204,-46.9081453,-19.369961204645204,-19.36996120464520581,本地精确分支对偶证书＋精确原MPS可行解,采用认证值；旧headline末位偏高，不能把旧字面十进制恢复为严格下界。最终证明不依赖已撤回的旧energy cuts或浮点D_safe。精确树证书是后续补全，不冒充旧搜索轨迹重放。,提取 selection 核，推导安全冲突/能量约束，再独立构造原空间 schedule；latest start 不等于 deadline,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-paira200/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-paira400,时间选择与排程,True,True,named_case_or_family_expansion,-36.27696674236886 (new strict incumbent),-36.27696674236886 (safe suffix master),Computational optimum; two master runs and Pair-A/Pair-B full-row audits,numeric_improvement,-35.54680465280395,-36.27696674236886,-95.8844179,-36.27696674236886,-36.276966742368865136,本地精确分支对偶证书＋精确原MPS可行解,采用认证值；旧headline末位偏高，不能把旧字面十进制恢复为严格下界。最终证明不依赖已撤回的旧energy cuts或浮点D_safe。精确树证书是后续补全，不冒充旧搜索轨迹重放。,提取 selection 核，推导安全冲突/能量约束，再独立构造原空间 schedule；latest start 不等于 deadline,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-paira400/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-pairb200,时间选择与排程,True,True,named_case_or_family_expansion,-19.3699612046452058100 (new strict incumbent),-19.3699612046452058100 (Gurobi + audited valid cuts),"Computational optimum; independent rerun and Pair-A cross-check, no portable formal lower-bound proof",numeric_improvement,-19.24094384259708,-19.3699612046452058100,-51.5610835,-19.3699612046452058100,-19.36996120464520581,本地精确分支对偶证书＋精确原MPS可行解,采用本题原MPS字面系数对应的精确认证值。最终证明不依赖已撤回的旧energy cuts或浮点D_safe。精确树证书是后续补全，不冒充旧搜索轨迹重放。,提取 selection 核，推导安全冲突/能量约束，再独立构造原空间 schedule；latest start 不等于 deadline,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-pairb200/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-pairb400,时间选择与排程,True,True,named_case_or_family_expansion,-36.27696674236886 (new strict incumbent),-36.27696674236886 (independent safe suffix master),"Computational optimum; two safe runs, cross-formulation audit, invalid old cuts explicitly rejected",numeric_improvement,-35.4584,-36.27696674236886,-98.8384308,-36.27696674236886,-36.276966742368865136,本地精确分支对偶证书＋精确原MPS可行解,采用认证值；旧headline末位偏高，不能把旧字面十进制恢复为严格下界。最终证明不依赖已撤回的旧energy cuts或浮点D_safe。精确树证书是后续补全，不冒充旧搜索轨迹重放。,提取 selection 核，推导安全冲突/能量约束，再独立构造原空间 schedule；latest start 不等于 deadline,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-pairb400/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-g31-8,图嵌入与旋转系统,True,True,not_explicitly_mapped_here,-23 (genus 3),-23 exhaustive result,"Optimal, same graph and exact exhaustive result; no standalone proof trace",not_in_project_primal_table,,,-27,-23,,,,,在紧凑 rotation/face 状态上构造新见证；区分等价 face 标签与真实拓扑变化。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-g31-8/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-g61-25,图嵌入与旋转系统,True,True,not_explicitly_mapped_here,-40 (genus 10; MPS tolerance 1e-6),-42 (exact; genus ≥9),Complete 44-face exclusion; 42-face target unresolved,not_in_project_primal_table,,,-58,-42,,,,,在紧凑 rotation/face 状态上构造新见证；区分等价 face 标签与真实拓扑变化。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-g61-25/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-sym-g31-8,图嵌入与旋转系统,True,True,not_explicitly_mapped_here,-23 (genus 3),-23 exhaustive result,"Optimal, specialized exact exhaustive computation; no standalone proof trace",not_in_project_primal_table,,,-27,-23,,,,,在紧凑 rotation/face 状态上构造新见证；区分等价 face 标签与真实拓扑变化。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-sym-g31-8/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-sym-g62-2,图嵌入与旋转系统,True,True,not_explicitly_mapped_here,-38 (MPS tolerance 1e-6),-40 (exact),Complete short-face catalogue and rational dual; optimum open,not_in_project_primal_table,,,-54,-40,,,,,在紧凑 rotation/face 状态上构造新见证；区分等价 face 标签与真实拓扑变化。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-sym-g62-2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-sym-grafo5708-48,图嵌入与旋转系统,True,True,not_explicitly_mapped_here,-21 (genus 4),-21 exhaustive result,"Optimal, specialized exact exhaustive computation; no standalone proof trace",not_in_project_primal_table,,,-27,-21,,,,,在紧凑 rotation/face 状态上构造新见证；区分等价 face 标签与真实拓扑变化。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-sym-grafo5708-48/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
